time,x,y,z,rel_vel_mag,alpha_deg,alpha_geom_deg,cl,cd,cm
54.2,0.0246538433123,-21.2151241159,24.3019255792,38.2279632716,12.6456686931,16.9415917578,1.07704186362,0.0820204220563,1.54566516283e-301
54.25,0.0246538433123,-22.7106834542,22.910476537,38.2353186228,12.6349156781,16.9415917578,1.07658293024,0.081999038125,1.54566516283e-301
54.3,0.0246538433123,-24.1151781631,21.4271617409,38.2430026053,12.6254081925,16.9415917578,1.07620896142,0.0819791728326,1.54566516283e-301
54.35,0.0246538433123,-25.422976541,19.857928943,38.2505294362,12.6143897642,16.9415917578,1.07551590108,0.0819668093503,1.54566516283e-301
54.4,0.0246538433123,-26.6288346166,18.2090704066,38.2576821685,12.6079463317,16.9415917578,1.07533311985,0.0819550483991,1.54566516283e-301
54.45,0.0246538433123,-27.7279171757,16.4871976761,38.2649482605,12.6003588174,16.9415917578,1.07500013374,0.0819434692221,1.54566516283e-301
54.5,0.0246538433123,-28.7158171493,14.6992150661,38.2720686111,12.5899081697,16.9415917578,1.07434490363,0.0819259055367,1.54566516283e-301
54.55,0.0246538433123,-29.5885732853,12.8522919766,38.2790338248,12.5809319527,16.9415917578,1.07381812761,0.0819079372671,1.54566516283e-301
54.6,0.0246538433123,-30.3426860318,10.9538341453,38.2857825096,12.5726224296,16.9415917578,1.07332939383,0.0818926110608,1.54566516283e-301
54.65,0.0246538433123,-30.9751315699,9.01145395264,38.2920755158,12.5643772866,16.9415917578,1.07282366037,0.0818777292538,1.54566516283e-301
54.7,0.0246538433123,-31.4833739378,7.03293989737,38.2981156689,12.5571180616,16.9415917578,1.07232918449,0.0818629522924,1.54566516283e-301
54.75,0.0246538433123,-31.8653752005,5.02622536689,38.3037507173,12.5508727774,16.9415917578,1.07185704331,0.08185043605,1.54566516283e-301
54.8,0.0246538433123,-32.1196036205,2.99935682602,38.3090103269,12.5451996556,16.9415917578,1.07134955569,0.0818410776014,1.54566516283e-301
54.85,0.0246538433123,-32.2450398002,0.960461552507,38.3137282491,12.5389694998,16.9415917578,1.07075875406,0.0818309329203,1.54566516283e-301
54.9,0.0246538433123,-32.2411807692,-1.08228495144,38.3179729922,12.5365881025,16.9415917578,1.07046664776,0.0818267854067,1.54566516283e-301
54.95,0.0246538433123,-32.1080420015,-3.12069174108,38.3214293999,12.5306627576,16.9415917578,1.06976416465,0.081818884739,1.54566516283e-301
55,0.0246538433123,-31.8461573528,-5.14658527291,38.3243873468,12.5282217836,16.9415917578,1.06933016405,0.081816252841,1.54566516283e-301
55.05,0.0246538433123,-31.4565769206,-7.15184217873,38.3265700517,12.5249146152,16.9415917578,1.06879029358,0.081811395497,1.54566516283e-301
55.1,0.0246538433123,-30.940862833,-9.12842183849,38.3280844032,12.5227408722,16.9415917578,1.06829063667,0.0818107054846,1.54566516283e-301
55.15,0.0246538433123,-30.3010829851,-11.0683986213,38.3288878819,12.5223811149,16.9415917578,1.06786876744,0.0818127097898,1.54566516283e-301
55.2,0.0246538433123,-29.5398027474,-12.9639936654,38.3287560515,12.5234534892,16.9415917578,1.06757046646,0.0818115221333,1.54566516283e-301
